시작에들어가는가상글입	시작에들어가는가상글/NNP
기분	기/NNG + 분/XSN
기사	기사/NNG
기생	기/NNB + 생/XSN
기씩	기/NNB + 씩/XSN
기암	기/NNB + 암/NNG
기자	기자/NNG
기준	기준/NNG
기층	기/NNB + 층/NNG
기통	기통/NNG
金식	金/SH + 식/NNB
김씨	김/NNP + 씨/NNB
金씨	金/SH + 씨/NNB
꼭지	꼭지/NNB
나라	나라/NNG
나무	나무/NNG
나이	나이/NNG
나한	나한/NNG
나흘	나흘/NNG
남매	남매/NNG
남중	남/NNG + 중/NNB
낫싱	낫싱/NNG
냥빚	냥/NNB + 빚/NNG
냥씩	냥/NNB + 씩/XSN
네댓	네댓/NR
녀석	녀석/NNB
녀중	녀/NNG + 중/NNB
년간	년/NNB + 간/NNB
년경	년/NNB + 경/XSN
년급	년/NNB + 급/NNG
년기	년/NNB + 기/NNG
년께	년/NNB + 께/XSN
년내	년/NNB + 내/NNB
년대	년/NNB + 대/XSN
年代	年代/SH
년도	년도/NNB
年度	年度/SH
년뒤	년/NNB + 뒤/NNG
년때	년/NNB + 때/NNG
년래	년/NNB + 래/NNG
년력	년/NNB + 력/NNG
년만	년/NNB + 만/NNB
년말	년/NNB + 말/NNB
년末	년/NNB + 末/SH
년명	년/NNB + 명/NNB
年銘	年銘/SH
년물	년/NNB + 물/NNG
년반	년/NNB + 반/NNG
년법	년/NNB + 법/NNG
년복	년/NNB + 복/NNG
년봄	년/NNB + 봄/NNG
년분	년/NNB + 분/XSN
년뿐	년/NNB + 뿐/NNB
년사	년사/NNG
년산	년/NNB + 산/XSN
년상	년/NNB + 상/NNG
년새	년/NNB + 새/NNG
년생	년/NNB + 생/XSN
년식	년/NNB + 식/NNB
년씩	년/NNB + 씩/XSN
년안	년/NNB + 안/NNG
년여	년/NNB + 여/XSN
년작	년/NNB + 작/NNG
년장	년/NNB + 장/NNG
년전	년/NNB + 전/NNG
년제	년/NNB + 제/XSN
년조	년조/NNG
년중	년/NNB + 중/NNB
年中	年中/SH
년지	년/NNB + 지/NNG
년째	년/NNB + 째/XSN
년쯤	년/NNB + 쯤/XSN
년차	년/NNB + 차/NNB
년초	년/NNB + 초/NNB
년初	년/NNB + 初/SH
년치	년/NNB + 치/XSN
년판	년/NNB + 판/NNG
년형	년/NNB + 형/XSN
년후	년/NNB + 후/NNG
노구	노구/NNG
노령	노령/NNG
노인	노인/NNG
노조	노조/NNG
노총	노총/NNG
노트	노트/NNG
뇌실	뇌실/NNG
누나	누나/NNG
누님	누님/NNG
누이	누이/NNG
뉴스	뉴스/NNG
다섯	다섯/NR
단간	단/NNG + 간/NNB
단계	단계/NNG
단독	단독/NNG
단보	단보/NNB
단보	단보/NNG
단식	단식/NNG
단씩	단/NNG + 씩/XSN
단어	단어/NNG
단위	단위/NNG
單位	單位/SH
단장	단장/NNG
단전	단전/NNG
단지	단지/NNG
단쯤	단/NNB + 쯤/XSN
단체	단체/NNG
단통	단통/NNG
단팀	단/NNG + 팀/NNG
달간	달/NNB + 간/NNG
달라	달라/NNB
달러	달러/NNB
달만	달/NNB + 만/NNB
달째	달/NNG + 째/XSN
달쯤	달/NNB + 쯤/XSN
달치	달/NNB + 치/XSN
담당	담당/NNG
答식	答/SH + 식/NNB
닷새	닷새/NNG
당간	당/NNG + 간/NNB
당수	당수/NNG
당시	당시/NNG
당제	당/NNG + 제/XSN
당척	당척/NNG
대女	대/NNB + 女/NNG
대0	대/NNB + 0/NR
대1	대/NNB + 1/SN
對1	對/SH + 1/SN
대3	대/NNB + 3/SN
대4	대/NNB + 4/SN
대가	대가/NNG
대간	대간/NNG
대강	대/NNB + 강/NNG
대개	대개/NNG
대국	대/NNB + 국/NNG
대군	대군/NNG
대궁	대/XPN + 궁/NNG
대꼴	대/NNB + 꼴/XSN
대당	대/NNB + 당/XSN
대대	대대/NNG
대등	대/NNB + 등/NNB
대때	대/NNB + 때/NNG
대로	대로/NNG
대륙	대륙/NNG
대말	대/NNB + 말/NNB
대목	대목/NNG
대문	대문/NNG
대별	대별/NNG
대분	대/NNB + 분/XSN
대선	대선/NNG
대손	대/NNB + 손/NNG
대손	대손/NNG
대씩	대/NNB + 씩/XSN
대양	대양/NNG
大洋	大洋/SH
대여	대여/NNG
대왕	대/NNB + 왕/NNG
대원	대원/NNG
대조	대/NNB + 조/NNG
대종	대/NNB + 종/NNG
대주	대주/NNG
대지	대/NNB + 지/NNG
대째	대/NNB + 째/XSN
대쪽	대/NNB + 쪽/NNB
대쯤	대/NNB + 쯤/XSN
대초	대/NNB + 초/NNB
대층	대/NNB + 층/XSN
대학	대학/NNG
대회	대회/NNG
덩이	덩이/NNG
도간	도/NNG + 간/NNB
도령	도령/NNG
도로	도로/NNG
도루	도루/NNG
도만	도/NNB + 만/JX
도선	도/NNB + 선/NNG
도스	도스/NNG
도시	도시/NNG
도심	도심/NNG
도씩	도/NNB + 씩/XSN
도움	도움/NNG
도제	도/NNG + 제/XSN
도쯤	도/NNB + 쯤/XSN
도쿄	도쿄/NNP
돈쭝	돈쭝/NNB
동강	동강/NNG
동네	동네/NNG
동리	동리/NNG
동산	동/NNG + 산/NNG
동생	동생/NNG
동서	동서/NNG
동이	동이/NNG
동작	동작/NNG
되씩	되/NNB + 씩/XSN
두령	두령/NNG
두름	두름/NNB
두씩	두/NNB + 씩/XSN
두품	두품/NNG
둘씩	둘/NR + 씩/XSN
드럼	드럼/NNG
득점	득점/NNG
등국	등국/NNG
등군	등군/NNG
등급	등급/NNG
등분	등분/NNG
등상	등/NNB + 상/NNG
등석	등/NNB + 석/NNG
등성	등성/NNB
등신	등신/NNG
등실	등/NNB + 실/NNG
등칸	등/NNB + 칸/NNG
등품	등품/NNG
딸네	딸/NNG + 네/XSN
라인	라인/NNG
란성	란/NNG + 성/XSN
량가	량/NNB + 가/XSN
량가	량/NNG + 가/NNG
량식	량/NNB + 식/NNB
레인	레인/NNG
령씩	령/NNB + 씩/XSN
롯데	롯데/NNP
루블	루블/NNG
루수	루/NNG + 수/NNG
루심	루/NNG + 심/NNG
루측	루/NNG + 측/NNB
루타	루/NNG + 타/NNG
루피	루피/NNB
룩스	룩스/NNB
류극	류/XSN + 극/NNG
륙세	륙/NR + 세/NNB
륙십	륙십/NR
륜차	륜/NNG + 차/NNG
리간	리/NNB + 간/NNB
리길	리/NNB + 길/NNG
리씩	리/NNB + 씩/XSN
리장	리/NNB + 장/NNG
리쯤	리/NNB + 쯤/XSN
리터	리터/NNB
립중	립/NNB + 중/NNG
마당	마당/NNB
마디	마디/NNG
마력	마력/NNB
마리	마리/NNB
마을	마을/NNG
마일	마일/NNG
마일	마일/NNB
마흔	마흔/NR
막극	막/NNG + 극/NNG
만4	만/NR + 4/SN
만k	만/NR + k/SL
만t	만/NR + t/SL
만갑	만/NR + 갑/NNG
만개	만/NR + 개/NNB
만건	만/NR + 건/NNB
만결	만/NR + 결/NNB
만곳	만/NR + 곳/NNG
만권	만/NR + 권/NNB
만년	만/NR + 년/NNB
만단	만/NR + 단/NNB
만대	만/NR + 대/NNB
만동	만/NR + 동/NNB
만등	만/NR + 등/NNB
만리	만/NR + 리/NNB
만매	만/NR + 매/NNB
만명	만/NR + 명/NNB
만명	만명/NNG
만발	만/NR + 발/NNB
만배	만/NR + 배/NNG
만번	만/NR + 번/NNB
만병	만병/NNG
만부	만/NR + 부/NNB
만분	만/NR + 분/XSN
만불	만/NR + 불/NNB
만석	만/NR + 석/NNB
만섬	만/NR + 섬/NNB
만엔	만/NR + 엔/NNB
만여	만/NR + 여/XSN
만원	만/NR + 원/NNB
만자	만/NR + 자/NNB
만장	만/NR + 장/NNB
만정	만/NR + 정/NNB
만종	만/NR + 종/NNG
만주	만/NR + 주/NNG
만쪽	만/NR + 쪽/NNG
만콜	만/NR + 콜/NNG
만큼	만큼/NNB
만톤	만/NR + 톤/NNB
만통	만/NR + 통/NNB
만편	만/NR + 편/NNB
만평	만/NR + 평/NNB
萬坪	萬坪/SH
만표	만/NR + 표/NNG
만호	만/NR + 호/NNB
만회	만/NR + 회/NNB
말씩	말/NNB + 씩/XSN
매쉬	매쉬/NNG
매씩	매/NNB + 씩/XSN
매체	매체/NNG
맥박	맥박/NNG
머쉰	머쉰/NNG
먹이	먹이/NNG
메가	메가/NNB
메끼	메끼/NNG
면내	면/NNG + 내/NNB
면대	면/NNG + 대/NNB
면모	면모/NNG
면씩	면/NNG + 씩/XSN
면체	면/NNG + 체/NNG
면체	면체/NNG
명꼴	명/NNB + 꼴/XSN
명당	명/NNB + 당/XSN
명등	명/NNB + 등/NNB
명분	명/NNB + 분/XSN
명뿐	명/NNB + 뿐/NNB
명선	명/NNB + 선/NNG
명소	명소/NNG
명씩	명/NNB + 씩/XSN
명안	명안/NNG
명에	명/NNB + 에/JKB
명절	명절/NNG
명중	명/NNB + 중/NNB
명째	명/NNB + 째/XSN
명쯤	명/NNB + 쯤/XSN
모꼴	모/NNG + 꼴/XSN
모델	모델/NNG
모음	모음/NNG
모작	모작/NNG
목적	목적/NNG
목제	목/NNG + 제/XSN
묘제	묘/NNG + 제/XSN
문씩	문/NNB + 씩/XSN
문자	문자/NNG
문제	문제/NNG
문항	문항/NNG
뭉치	뭉치/NNG
뮌헨	뮌헨/NNP
미리	미리/NNB
미만	미만/NNG
미음	미음/NNG
미터	미터/NNB
미터	미터/NNG
민영	민영/NNG
민족	민족/NNG
밀리	밀리/NNB
바늘	바늘/NNG
바다	바다/NNG
바퀴	바퀴/NNB
바트	바트/NNG
박스	박스/NNG
박자	박자/NNG
반보	반보/NNB
반칙	반칙/NNG
발씩	발/NNB + 씩/XSN
방리	방리/NNG
방면	방면/NNG
방울	방울/NNG
방향	방향/NNG
배속	배속/NNG
배수	배수/NNG
배씩	배/NNG + 씩/XSN
배줌	배/NNG + 줌/NNG
배쯤	배/NNG + 쯤/XSN
배출	배출/NNG
배폭	배/NNG + 폭/NNB
백g	백/NR + g/SL
백m	백/NNG + m/SL
백m	백/NR + m/SL
백t	백/NR + t/SL
백V	백/NR + V/SL
백개	백/NR + 개/NNB
백건	백/NR + 건/NNB
백골	백/NR + 골/NNG
백곳	백/NR + 곳/NNG
백관	백/NR + 관/NNB
백권	백/NR + 권/NNB
백기	백/NR + 기/NNB
백년	백/NR + 년/NNB
백단	백/NR + 단/NNB
백대	백/NR + 대/NNB
백대	백/NR + 대/NNG
백대	백/NR + 대/XSN
백도	백/NR + 도/NNB
백돌	백/NR + 돌/NNG
백리	백/NR + 리/NNB
백만	백만/NR
백매	백/NR + 매/NNB
백명	백/NR + 명/NNB
百명	百/SH + 명/NNB
백밖	백/NR + 밖/NNG
백발	백/NR + 발/NNB
백번	백/NR + 번/NNB
백벌	백/NR + 벌/NNB
백부	백/NR + 부/NNB
백분	백/NR + 분/XSN
백불	백/NR + 불/NNG
백석	백/NR + 석/NNB
백수	백/NR + 수/NNB
백억	백억/NR
백億	백/NR + 億/SH
백엔	백/NR + 엔/NNB
백여	백/NR + 여/XSN
백원	백/NR + 원/NNB
百원	百/SH + 원/NNB
백인	백/NR + 인/NNG
백일	백/NR + 일/NNB
백자	백/NR + 자/NNG
백장	백/NR + 장/NNB
백점	백/NR + 점/NNB
백접	백/NR + 접/NNB
백조	백조/NR
百兆	百兆/SH
백종	백/NR + 종/NNG
백주	백/NR + 주/NNG
백쪽	백/NR + 쪽/NNB
백쯤	백/NR + 쯤/XSN
백차	백/NR + 차/NNB
백척	백/NR + 척/NNB
백초	백/NR + 초/NNB
백층	백/NR + 층/NNG
백톤	백/NR + 톤/NNG
백편	백/NR + 편/NNB
백평	백/NR + 평/NNB
백표	백/NR + 표/NNG
백회	백/NR + 회/NNB
밸브	밸브/NNG
버전	버전/NNG
번가	번/NNB + 가/NNG
번기	번/NNB + 기/NNG
번꼴	번/NNB + 꼴/XSN
번뇌	번뇌/NNG
번대	번/NNB + 대/NNG
번대	번/NNB + 대/NNG
번대	번/NNB + 대/XSN
번선	번/NNB + 선/NNG
번씩	번/NNB + 씩/XSN
번중	번/NNB + 중/NNB
번지	번지/NNG
번째	번/NNB + 째/XSN
번쯤	번/NNB + 쯤/XSN
번호	번/NNB + 호/NNG
번호	번호/NNG
번홀	번/NNB + 홀/NNG
벌씩	벌/NNB + 씩/XSN
벌타	벌/NNG + 타/NNG
범주	범주/NNG
범행	범행/NNG
법칙	법칙/NNG
병당	병/NNG + 당/XSN
병상	병상/NNG
병씩	병/NNG + 씩/XSN
병원	병원/NNG
병쯤	병/NNG + 쯤/XSN
보루	보루/NNB
보림	보림/NNG
보시	보/NNB + 시/NNG
복식	복식/NNG
복자	복자/NNG
본과	본과/NNG
본부	본부/NNG
볼넷	볼넷/NNG
볼트	볼트/NNB
봉인	봉인/NNG
봉지	봉지/NNG
부당	부/NNB + 당/XSN
부대	부대/NNG
부두	부두/NNG
부락	부락/NNG
부문	부문/NNG
부부	부부/NNG
부분	부분/NNG
부씩	부/NNB + 씩/XSN
부자	부자/NNG
부작	부/NNB + 작/NNG
부장	부장/NNG
부제	부제/NNG
부쪽	부/NNB + 쪽/NNB
부쯤	부/NNB + 쯤/XSN
부처	부처/NNG
분간	분/NNB + 간/NNB
분간	분/NNB + 간/NNG
분경	분/NNB + 경/XSN
分頃	分頃/SH
분과	분과/NNG
분기	분기/NNG
분께	분/NNB + 께/XSN
분내	분/NNB + 내/NNB
분단	분단/NNG
분당	분/NNB + 당/XSN
분뒤	분/NNB + 뒤/NNG
분류	분류/NNG
분만	분/NNB + 만/NNB
분박	분/NNG + 박/NNG
분발	분/NNB + 발/NNG
분법	분/XSN + 법/NNG
분씩	분/NNB + 씩/XSN
분야	분야/NNG
분여	분/NNB + 여/XSN
분자	분자/NNG
분전	분/NNB + 전/NNG
분지	분지/NNG
분쯤	분/NNB + 쯤/XSN
분파	분파/NNG
분할	분할/NNG
분화	분화/NNG
불씩	불/NNB + 씩/XSN
불통	불통/NNG
블록	블록/NNG
비트	비트/NNB
빌딩	빌딩/NNG
뿌리	뿌리/NNG
사간	사/NNG + 간/NNB
사건	사건/NNG
사구	사구/NNG
사단	사단/NNG
사도	사도/NNG
사람	사람/NNG
사례	사례/NNG
사무	사무/NNG
사발	사발/NNG
사분	사/NR + 분/NNB
사업	사업/NNG
사위	사위/NNG
사찰	사찰/NNG
사천	사천/NR
사태	사태/NNG
사회	사회/NNG
사후	사후/NNG
사흘	사흘/NNG
산화	산/NNG + 화/XSN
살경	살/NNB + 경/XSN
살때	살/NNB + 때/NNG
살반	살/NNB + 반/NNG
살선	살/NNB + 선/NNG
살짜	살/NNB + 짜리/XSN +
살쯤	살/NNB + 쯤/XSN
삼일	삼/NR + 일/NNG
삼진	삼진/NNG
삼촌	삼촌/NNG
삼회	삼/NR + 회/NNB
상씩	상/NNG + 씩/XSN
상자	상자/NNG
새끼	새끼/NNG
색기	색기/NNG
색춤	색/NNG + 춤/NNG
생명	생명/NNG
서기	서기/NNG
서넛	서넛/NR
서방	서방/NNG
서울	서울/NNP
석꾼	석/NNB + 꾼/XSN
석대	석/NNB + 대/NNB
석쯤	석/NNB + 쯤/XSN
선급	선/NNB + 급/NNG
선배	선배/NNG
선수	선수/NNG
선지	선지/NNG
성적	성적/NNG
성조	성조/NNG
성지	성지/NNG
세계	세계/NNG
세기	세기/NNG
世紀	世紀/SH
세대	세대/NNG
세대	세대/NNG
세등	세/NNB + 등/NNB
세때	세/NNB + 때/NNG
세리	세리/NNB
세마	세/NNB + 마/NNG
세손	세손/NNG
세전	세/NNB + 전/NNG
세조	세/NNB + 조/NNG
세쯤	세/NNB + 쯤/XSN
세트	세트/NNG
세포	세포/NNG
센터	센터/NNG
센트	센트/NNB
센티	센티/NNB
소경	소경/NNG
소년	소년/NNG
소대	소대/NNG
소리	소리/NNG
속당	속/NNB + 당/XSN
속당	속/NNG + 당/XSN
송이	송이/NNG
수년	수년/NNG
수능	수능/NNG
수만	수/NNB + 만/NNB
수석	수석/NNG
수씩	수/NNB + 씩/XSN
수업	수업/NNG
수준	수준/NNG
수천	수천/NR
숙부	숙부/NNG
순서	순서/NNG
순위	순위/NNG
숟갈	숟갈/NNG
쉰살	쉰/NR + 살/NNB
스텝	스텝/NNG
승씩	승/NNB + 씩/XSN
승자	승자/NNG
승째	승/NNB + 째/XSN
승차	승/NNB + 차/NNG
시간	시간/NNB
시간	시간/NNG
시경	시/NNB + 경/XSN
시기	시기/NNG
시께	시/NNB + 께/XSN
시대	시대/NNG
시루	시루/NNG
시반	시/NNB + 반/NNG
시장	시장/NNG
시점	시점/NNG
시즌	시즌/NNG
시쪽	시/NNB + 쪽/NNB
시쯤	시/NNB + 쯤/NNB
시쯤	시/NNB + 쯤/NNG
시쯤	시/NNB + 쯤/XSN
시차	시차/NNG
시티	시티/NNG
시합	시합/NNG
식구	식구/NNG
신고	신고/NNG
신당	신/XPN + 당/NNG
신분	신분/NNG
신사	신사/NNG
실링	실링/NNB
실장	실장/NNG
실점	실점/NNG
심제	심/NNG + 제/XSN
십년	십/NR + 년/NNB
십만	십만/NR
십명	십/NR + 명/NNB
십억	십억/NR
십여	십/NR + 여/XSN
십일	십/NR + 일/NR
쌍꼴	쌍/NNG + 꼴/NNG
쌍중	쌍/NNG + 중/NNB
쎈트	쎈트/NNB
쎈티	쎈티/NNB
아들	아들/NNG
아우	아우/NNG
아이	아이/NNG
악곡	악곡/NNG
악장	악장/NNG
안타	안타/NNG
암제	암/NNG + 제/XSN
야당	야당/NNG
야드	야드/NNB
양주	양주/NNG
양푼	양푼/NNG
억g	억/NR + g/SL
억m	억/NR + m/SL
억t	억/NR + t/SL
억갑	억/NR + 갑/NNG
억개	억/NR + 개/NNB
억건	억/NR + 건/NNB
억년	억/NR + 년/NNB
억대	억/NR + 대/XSN
억만	억만/NR
억명	억/NR + 명/NNB
억번	억/NR + 번/NNB
억병	억/NR + 병/NNG
억분	억/NR + 분/NNB
억불	억/NR + 불/NNB
억弗	억/NR + 弗/SH
億弗	億弗/SH
억살	억/NR + 살/NNB
억쌍	억/NR + 쌍/NNG
억씩	억/NR + 씩/XSN
억엔	억/NR + 엔/NNB
억여	억/NR + 여/XSN
억원	억/NR + 원/NNB
억元	억/NR + 元/SH
억인	억/NR + 인/NNG
억잔	억/NR + 잔/NNG
억장	억/NR + 장/NNB
억정	억/NR + 정/NNB
억주	억/NR + 주/NNG
억중	억/NR + 중/NNB
억쯤	억/NR + 쯤/XSN
억통	억/NR + 통/NNB
억평	억/NR + 평/NNB
언니	언니/NNG
언더	언더/NNG
언시	언/NNG + 시/NNG
엔당	엔/NNB + 당/XSN
엔대	엔/NNB + 대/XSN
엔진	엔진/NNG
여m	여/XSN + m/SL
여t	여/XSN + t/SL
여간	여/XSN + 간/NNB
여개	여/XSN + 개/NNB
여개	여/XSN + 개국/NNB
여건	여/XSN + 건/NNB
여곡	여/XSN + 곡/NNG
여곳	여/XSN + 곳/NNG
여국	여/XSN + 국/NNG
여권	여/XSN + 권/NNB
여기	여/XSN + 기/NNB
여길	여/XSN + 길/NNB
여년	여/XSN + 년/NNB
여단	여단/NNG
여대	여/XSN + 대/NNB
여대	여대/NNG
여동	여/XSN + 동/NNB
여두	여/XSN + 두/NNB
여리	여/XSN + 리/NNB
여만	여/XSN + 만/NR
여명	여/XSN + 명/NNB
여발	여/XSN + 발/NNB
여번	여/XSN + 번/NNB
여벌	여/XSN + 벌/NNB
여부	여/XSN + 부/NNB
여분	여/XSN + 분/NNB
여사	여사/NNG
여석	여/XSN + 석/NNB
여섯	여섯/NR
여수	여/XSN + 수/NNB
여억	여/XSN + 억/NR
여원	여/XSN + 원/NNB
여일	여/XSN + 일/NNB
여자	여자/NNG
여장	여/XSN + 장/NNB
여점	여/XSN + 점/NNB
여종	여/XSN + 종/NNG
여집	여/XSN + 집/NNG
여쪽	여/XSN + 쪽/NNG
여채	여/XSN + 채/NNB
여척	여/XSN + 척/NNB
여초	여/XSN + 초/NNB
여칸	여/XSN + 칸/NNG
여톤	여/XSN + 톤/NNB
여통	여/XSN + 통/NNB
여편	여/XSN + 편/NNB
여평	여/XSN + 평/NNB
여표	여/XSN + 표/NNG
여호	여/XSN + 호/NNB
여회	여/XSN + 회/NNB
역이	역이/NNG
연결	연결/NNG
연대	연대/NNG
연도	연도/NNG
연방	연방/NNG
연속	연속/NNG
연승	연승/NNG
연안	연안/NNG
연장	연장/NNG
연전	연전/NNG
연패	연패/NNG
열사	열사/NNG
열차	열차/NNG
엿새	엿새/NNG
영리	영리/NNB
영역	영역/NNG
영화	영화/NNG
예산	예산/NNG
오도	오/NR + 도/NNB
오륙	오륙/NR
오만	오만/NR
오백	오백/NR
오버	오버/NNG
오빠	오빠/NNG
오십	오십/NR
오천	오천/NR
오픈	오픈/NNG
옥사	옥사/NNG
온스	온스/NNB
올케	올케/NNG
와트	와트/NNB
왕조	왕조/NNG
요소	요소/NNG
요인	요인/NNG
우상	우상/NNG
운동	운동/NNG
원권	원/NNB + 권/NNG
원권	원/NNB + 권/XSN
원꼴	원/NNB + 꼴/XSN
원대	원/NNB + 대/XSN
원代	원/NNB + 代/SH
원선	원/NNB + 선/NNG
원소	원소/NNG
원씩	원/NNB + 씩/XSN
원적	원/NNG + 적/XSN
원짜	원/NNB + 짜리/XSN +
원쯤	원/NNB + 쯤/NNG
원쯤	원/NNB + 쯤/XSN
원칙	원칙/NNG
원화	원/NNG + 화/XSN
월경	월/NNB + 경/XSN
월기	월/NNB + 기/NNG
월께	월/NNB + 께/XSN
월달	월/NNB + 달/NNG
월드	월드/NNG
월란	월/NNB + 란/NNG
월령	월령/NNG
월말	월/NNB + 말/NNB
월물	월/NNB + 물/NNB
월분	월/NNB + 분/XSN
월생	월/NNB + 생/XSN
월씩	월/NNB + 씩/XSN
월장	월/NNB + 장/NNG
월제	월/NNB + 제/XSN
월조	월/NNB + 조/NNB
月조	月/SH + 조/NNG
월중	월/NNB + 중/NNB
月中	月中/SH
월쯤	월/NNB + 쯤/NNG
월쯤	월/NNB + 쯤/XSN
월초	월/NNB + 초/NNB
月初	月初/SH
월치	월/NNB + 치/XSN
월토	월토/NNG
월호	월/NNB + 호/NNB
위국	위/NNB + 국/NNG
위권	위/NNB + 권/XSN
위묘	위/NNB + 묘/NNG
위산	위산/NNP
위안	위/NNB + 안/NNG
위안	위안/NNB
위임	위임/NNG
위전	위/NNB + 전/NNG
위팀	위/NNB + 팀/NNG
위표	위/NNB + 표/NNG
유로	유로/NNB
음계	음계/NNG
음보	음보/NNG
음절	음절/NNG
의사	의사/NNG
이닝	이닝/NNG
이동	이동/NNG
이모	이모/NNG
이백	이백/NNG
이상	이상/NNG
이틀	이틀/NNG
이후	이후/NNG
인간	인간/NNG
인극	인/NNG + 극/NNG
인당	인/NNG + 당/XSN
人當	人當/SH
인무	인/NNG + 무/NNG
인방	인/NNG + 방/NNG
인분	인/NNG + 분/XSN
인승	인/NNG + 승/NNG
인실	인/NNG + 실/NNG
인씩	인/NNG + 씩/XSN
인역	인/NNG + 역/NNG
인용	인/NNG + 용/XSN
人委	人委/SH
인자	인자/NNG
인전	인전/NNG
인조	인/NNG + 조/NNG
인치	인치/NNB
인칭	인칭/NNG
일간	일/NNB + 간/NNB
일경	일/NNB + 경/XSN
일께	일/NNB + 께/XSN
일날	일/NNB + 날/NNG
일내	일/NNB + 내/NNB
일당	일/NNB + 당/XSN
일대	일대/NNG
일란	일/NNB + 란/NNG
일만	일/NNB + 만/NNB
一萬	一萬/SH
일물	일/NNB + 물/NNG
일밤	일/NNB + 밤/NNG
일부	일부/NNG
일분	일/NNB + 분/XSN
일분	일분/NNG
일상	일/NNB + 상/NNG
일생	일/NNB + 생/XSN
일시	일/NNB + 시/NNG
일씩	일/NNB + 씩/XSN
일용	일/NNB + 용/XSN
일월	일/NR + 월/NNB
일자	일/NNB + 자/NNG
일자	일자/NNG
일字	일/NNB + 字/SH
일장	일/NNB + 장/NNG
일전	일/NNB + 전/NNG
일제	일/NNB + 제/XSN
일중	일/NNB + 중/NNB
일째	일/NNB + 째/XSN
일쯤	일/NNB + 쯤/NNB
일쯤	일/NNB + 쯤/XSN
일치	일/NNB + 치/NNB
일후	일/NNB + 후/NNG
입중	입중/NNG
자간	자/NNG + 간/NNB
자녀	자녀/NNG
자루	자루/NNB
자리	자리/NNG
자매	자매/NNG
자모	자모/NNG
자식	자식/NNG
자씩	자/NNB + 씩/XSN
자씩	자/NNG + 씩/XSN
자제	자제/NNG
자평	자/NNG + 평/NNG
자평	자평/NNG
자형	자형/NNG
작품	작품/NNG
잔쯤	잔/NNG + 쯤/XSN
장관	장관/NNG
장군	장군/NNG
장당	장/NNB + 당/XSN
장대	장대/NNG
장면	장면/NNG
장문	장문/NNG
장벽	장벽/NNG
장복	장복/NNG
장사	장사/NNG
장소	장소/NNG
장씩	장/NNB + 씩/XSN
장씩	장/NNG + 씩/XSN
장여	장/NNB + 여/XSN
장자	장자/NNG
장형	장/NNB + 형/XSN
적제	적/NNG + 제/XSN
전대	전대/NNG
전씩	전/NNB + 씩/XSN
전쟁	전쟁/NNG
전후	전후/NNG
절기	절기/NNG
절지	절/NNG + 지/NNG
절터	절터/NNG
절후	절후/NNG
점대	점/NNB + 대/XSN
점때	점/NNB + 대/XSN
점슛	점/NNB + 슛/NNG
점씩	점/NNB + 씩/XSN
점차	점/NNB + 차/NNG
점포	점/NNB + 포/NNG
점포	점포/NNG
접시	접시/NNG
접철	접철/NNG
정간	정간/NNG
정도	정도/NNG
정맥	정맥/NNG
정보	정보/NNB
정부	정부/NNG
정신	정신/NNG
정제	정/NNG + 제/XSN
정책	정책/NNG
제국	제국/NNG
제도	제도/NNG
제불	제불/NNG
제자	제자/NNG
조각	조각/NNG
조개	조/NR + 개/NNB
조건	조건/NNG
조명	조/NR + 명/NNB
조목	조목/NNG
조분	조/NR + 분/NNG
조상	조/NNB + 상/XSN
조씩	조/NR + 씩/XSN
조에	조/NNB + 에/JKB
조엔	조/NR + 엔/NNB
조여	조/NR + 여/XSN
조의	조/NNB + 의/JKG
조원	조/NR + 원/NNB
兆원	兆/SH + 원/NNB
조정	조정/NNG
조제	조/NNB + 제/XSN
조평	조/NR + 평/NNB
존불	존불/NNG
종류	종류/NNG
종목	종목/NNG
종뿐	종/NNG + 뿐/NNB
종씩	종/NNG + 씩/XSN
종이	종이/NNG
종족	종족/NNG
종쯤	종/NNG + 쯤/XSN
종합	종합/NNG
주간	주/NNB + 간/NNB
주기	주기/NNB
주기	주기/NNG
주년	주년/NNB
주당	주/NNG + 당/XSN
주만	주/NNB + 만/NNB
주씩	주/NNB + 씩/XSN
주씩	주/NNG + 씩/XSN
주야	주야/NNG
주일	주일/NNB
주전	주/NNB + 전/NNG
주째	주/NNB + 째/XSN
주쯤	주/NNB + 쯤/XSN
주차	주/NNB + 차/NNB
주택	주택/NNG
周年	周年/SH
줄기	줄기/NNG
중고	중/NNG + 고/NNG
중대	중대/NNG
중적	중/NNG + 적/XSN
중주	중주/NNG
중창	중/NNG + 창/NNG
지구	지구/NNG
지망	지망/NNG
지수	지수/NNG
지역	지역/NNG
지점	지점/NNG
진동	진동/NNG
진법	진법/NNG
진수	진/NNG + 수/NNG
집꼴	집/NNG + 꼴/NNG
집단	집단/NNG
집당	집/NNG + 당/XSN
집반	집/NNG + 반/NNG
집째	집/NNB + 째/XSN
짝씩	짝/NNB + 씩/XSN
째권	째/XSN + 권/NNB
째딸	째/XSN + 딸/NNG
째수	째/XSN + 수/NNB
차관	차관/NNG
차량	차량/NNG
차례	차례/NNG
차로	차로/NNG
차분	차/NNB + 분/XSN
차선	차선/NNG
차시	차/NNB + 시/NNB
차원	차원/NNG
次元	次元/SH
차장	차장/NNG
차적	차/NNB + 적/XSN
次的	次的/SH
차전	차/NNB + 전/NNG
